Country,State,Year,Gender,Type Of Disease,"Cases (UOM:Number), Scaling Factor:1","Deaths (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Rabies,6,6
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,3112,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,17,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,131,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),2873,20
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,1196,5
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,670,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,Acute Encephalitis Syndrome,25.20449096,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,Chikungunya,186.3960029,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,Dengue,542.189631,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,Influenza,19.34298143,1.172301905
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,Japanese Encephalitis,0,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,Kala-azar,0,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,Malaria,1188.127981,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,2965,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,4227,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,26,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Cholera,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),439,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Measles,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),93,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Rabies,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),6,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,3784,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,5169,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,35,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Cholera,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),574,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Measles,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),117,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Rabies,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),4,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,Acute Encephalitis Syndrome,1,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,Chikungunya,0,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,Dengue,1,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,Influenza,0,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,Japanese Encephalitis,0,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,Kala-azar,0,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,Malaria,33,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,54170,43
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,6404,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Cholera,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,230,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),2543,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Measles,359,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),1839,5
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Rabies,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),872,6
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,606,10
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,1140,14
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,78207,100
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,9385,1
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Cholera,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,397,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),4332,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Measles,572,0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),3960,16
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Rabies,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,,
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),2151,23
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,1377,55
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,2574,33
India,Assam,"Calendar Year (Jan - Dec), 2020",,Acute Encephalitis Syndrome,595,96
India,Assam,"Calendar Year (Jan - Dec), 2020",,Chikungunya,0,
India,Assam,"Calendar Year (Jan - Dec), 2020",,Dengue,33,0
India,Assam,"Calendar Year (Jan - Dec), 2020",,Influenza,4,0
India,Assam,"Calendar Year (Jan - Dec), 2020",,Japanese Encephalitis,320,51
India,Assam,"Calendar Year (Jan - Dec), 2020",,Kala-azar,0,0
India,Assam,"Calendar Year (Jan - Dec), 2020",,Malaria,484,2
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,21758,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,74777,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,61,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Cholera,,
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,1,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,32,5
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),12129,14
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,12,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Measles,4,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,4,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),1000,7
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Rabies,,
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,61,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,1,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,11,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),8575,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,34,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,10,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,25675,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,83091,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,94,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Cholera,,
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,3,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,44,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),15637,23
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,1,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Measles,8,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,29,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),1360,11
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Rabies,,
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,3,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,1,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,25,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),14921,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,73,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,32,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",,Acute Encephalitis Syndrome,172,23
India,Bihar,"Calendar Year (Jan - Dec), 2020",,Chikungunya,38,
India,Bihar,"Calendar Year (Jan - Dec), 2020",,Dengue,493,2
India,Bihar,"Calendar Year (Jan - Dec), 2020",,Influenza,17,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",,Japanese Encephalitis,29,2
India,Bihar,"Calendar Year (Jan - Dec), 2020",,Kala-azar,1502,0
India,Bihar,"Calendar Year (Jan - Dec), 2020",,Malaria,518,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,17839,24
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,57510,10
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,51,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Cholera,1,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,1,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,63,1
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),3019,1
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,71,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Measles,11,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,5,1
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),8422,71
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Rabies,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,7,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,1,1
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),398,11
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,68,4
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,23144,23
