Country,State,Year,Gender,Type Of Disease,"Cases (UOM:Number), Scaling Factor:1","Deaths (UOM:Number), Scaling Factor:1"
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Neonatal,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Other than Neonatal,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Female,Viral Hepatitis(All Causes),101,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Female,Viral Meningitis,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Female,Whooping Cough,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Acute Diarrhoeal Diseases,21494,4
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Acute Respiratory Infection,48623,4
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Chicken Pox,145,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Cholera,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Diphtheria,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Encephalitis,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Enteric Fever(Typhoid),56,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Gonococcal Infection,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Measles,45,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Meningococcal Meningitis,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Pneumonia(All Causes),160,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Rabies,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Syphilis,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Neonatal,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Other than Neonatal,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Viral Hepatitis(All Causes),105,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Viral Meningitis,1,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Male,Whooping Cough,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,Acute Encephalitis Syndrome,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,Chikungunya,384,
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,Dengue,320,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,Influenza,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,Japanese Encephalitis,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,Kala-azar,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,Malaria,6,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Acute Diarrhoeal Diseases,183018,6
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Acute Respiratory Infection,1027777,29
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Chicken Pox,1266,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Cholera,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Diphtheria,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Encephalitis,48,2
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Enteric Fever(Typhoid),20822,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Gonococcal Infection,79,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Measles,13,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Meningococcal Meningitis,3,1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Pneumonia(All Causes),5487,268
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Rabies,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Syphilis,66,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Neonatal,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Other than Neonatal,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Viral Hepatitis(All Causes),528,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Viral Meningitis,15,7
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Female,Whooping Cough,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Acute Diarrhoeal Diseases,191847,2
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Acute Respiratory Infection,1051813,36
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Chicken Pox,1456,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Cholera,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Diphtheria,4,2
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Encephalitis,82,6
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Enteric Fever(Typhoid),22954,1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Gonococcal Infection,17,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Measles,21,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Meningococcal Meningitis,6,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Pneumonia(All Causes),6276,489
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Rabies,6,6
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Syphilis,94,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Neonatal,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Other than Neonatal,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Viral Hepatitis(All Causes),861,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Viral Meningitis,18,3
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Male,Whooping Cough,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,Acute Encephalitis Syndrome,1287,5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,Chikungunya,284,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,Dengue,4486,13
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,Influenza,2812,43
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,Japanese Encephalitis,147,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,Kala-azar,0,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,Malaria,3758,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Acute Diarrhoeal Diseases,252598,1
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Acute Respiratory Infection,379114,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Chicken Pox,4,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Cholera,0,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Diphtheria,46,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Encephalitis,2,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Enteric Fever(Typhoid),25332,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Gonococcal Infection,10116,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Measles,0,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Meningococcal Meningitis,2,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Pneumonia(All Causes),3222,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Rabies,0,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Syphilis,733,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Neonatal,8,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Other than Neonatal,77,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Viral Hepatitis(All Causes),12,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Viral Meningitis,375,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Female,Whooping Cough,262,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Acute Diarrhoeal Diseases,235496,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Acute Respiratory Infection,360895,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Chicken Pox,2,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Cholera,0,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Diphtheria,43,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Encephalitis,2,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Enteric Fever(Typhoid),25813,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Gonococcal Infection,4824,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Measles,0,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Meningococcal Meningitis,1,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Pneumonia(All Causes),3343,2
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Rabies,0,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Syphilis,721,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Neonatal,17,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Other than Neonatal,155,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Viral Hepatitis(All Causes),12,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Viral Meningitis,345,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",Male,Whooping Cough,332,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",,Acute Encephalitis Syndrome,33.62158476,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",,Chikungunya,2211.414108,
India,Telangana,"Calendar Year (Jan - Dec), 2018",,Dengue,6251.94853,2
India,Telangana,"Calendar Year (Jan - Dec), 2018",,Influenza,1173.367317,35.03543381
India,Telangana,"Calendar Year (Jan - Dec), 2018",,Japanese Encephalitis,20,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",,Kala-azar,0,0
India,Telangana,"Calendar Year (Jan - Dec), 2018",,Malaria,4291.648247,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Acute Diarrhoeal Diseases,30464,1
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Acute Respiratory Infection,67312,3
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Chicken Pox,136,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Cholera,1,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Diphtheria,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Encephalitis,2,2
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Enteric Fever(Typhoid),4668,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Gonococcal Infection,148,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Measles,4,1
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Meningococcal Meningitis,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Pneumonia(All Causes),102,14
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Rabies,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Syphilis,4,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Neonatal,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Other than Neonatal,1,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Viral Hepatitis(All Causes),88,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Viral Meningitis,7,3
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Female,Whooping Cough,36,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Acute Diarrhoeal Diseases,33944,3
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Acute Respiratory Infection,86090,5
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Chicken Pox,187,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Cholera,1,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Diphtheria,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Encephalitis,7,7
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Enteric Fever(Typhoid),5193,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Gonococcal Infection,51,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Measles,7,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Meningococcal Meningitis,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Pneumonia(All Causes),127,11
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Rabies,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Syphilis,12,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Neonatal,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Other than Neonatal,3,2
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Viral Hepatitis(All Causes),119,5
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Viral Meningitis,16,9
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",Male,Whooping Cough,58,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",,Acute Encephalitis Syndrome,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",,Chikungunya,0,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",,Dengue,656,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",,Influenza,4,2
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",,Japanese Encephalitis,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",,Kala-azar,0,0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",,Malaria,245,1
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Acute Diarrhoeal Diseases,39728,5
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Acute Respiratory Infection,119695,8
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Chicken Pox,150,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Cholera,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Diphtheria,7,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Encephalitis,3,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Enteric Fever(Typhoid),1819,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Gonococcal Infection,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Measles,150,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Meningococcal Meningitis,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Pneumonia(All Causes),596,7
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Rabies,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Syphilis,3,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Neonatal,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Other than Neonatal,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Viral Hepatitis(All Causes),32,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Viral Meningitis,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Female,Whooping Cough,1,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Acute Diarrhoeal Diseases,39833,2
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Acute Respiratory Infection,116230,10
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Chicken Pox,218,1
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Cholera,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Diphtheria,9,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Encephalitis,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Enteric Fever(Typhoid),1845,2
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Gonococcal Infection,1,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Measles,135,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Meningococcal Meningitis,2,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Pneumonia(All Causes),721,10
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Rabies,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Syphilis,1,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Neonatal,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Other than Neonatal,1,1
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Viral Hepatitis(All Causes),46,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Viral Meningitis,1,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",Male,Whooping Cough,2,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",,Acute Encephalitis Syndrome,311,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",,Chikungunya,683,
India,Tripura,"Calendar Year (Jan - Dec), 2018",,Dengue,100,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",,Influenza,1,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",,Japanese Encephalitis,59,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",,Kala-azar,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2018",,Malaria,13079,13
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Acute Diarrhoeal Diseases,572192,114
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Acute Respiratory Infection,1310241,245
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Chicken Pox,295,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Cholera,65,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Diphtheria,35,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Encephalitis,724,52
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Enteric Fever(Typhoid),336905,98
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Gonococcal Infection,2147,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Measles,550,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Meningococcal Meningitis,130,2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Pneumonia(All Causes),68526,55
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Rabies,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Syphilis,112,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Neonatal,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Other than Neonatal,96,8
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Viral Hepatitis(All Causes),10077,18
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Viral Meningitis,2832,6
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Female,Whooping Cough,409,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Acute Diarrhoeal Diseases,742763,115
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Acute Respiratory Infection,1688773,454
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Chicken Pox,447,1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Cholera,88,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Diphtheria,24,1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Encephalitis,754,29
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Enteric Fever(Typhoid),429098,126
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Gonococcal Infection,915,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Measles,799,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Meningococcal Meningitis,153,1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Pneumonia(All Causes),89890,71
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Rabies,0,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Syphilis,88,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Neonatal,2,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Other than Neonatal,160,4
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Viral Hepatitis(All Causes),14796,24
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Viral Meningitis,3219,4
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",Male,Whooping Cough,573,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,Acute Encephalitis Syndrome,3080,230
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,Chikungunya,58,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,Dengue,3829,4
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,Influenza,65,8
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,Japanese Encephalitis,323,25
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,Kala-azar,110,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,Malaria,86486,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Acute Diarrhoeal Diseases,44302,1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Acute Respiratory Infection,96127,30
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Chicken Pox,308,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Cholera,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Diphtheria,12,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Encephalitis,4,1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Enteric Fever(Typhoid),16083,2
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Gonococcal Infection,80,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Measles,90,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Meningococcal Meningitis,10,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Pneumonia(All Causes),5959,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Rabies,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Syphilis,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Neonatal,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Tetanus Other than Neonatal,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Viral Hepatitis(All Causes),4068,8
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Viral Meningitis,20,1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Female,Whooping Cough,156,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Acute Diarrhoeal Diseases,46059,4
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Acute Respiratory Infection,94578,56
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Chicken Pox,327,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Cholera,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Diphtheria,16,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Encephalitis,9,1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Enteric Fever(Typhoid),17602,2
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Gonococcal Infection,2,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Measles,66,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Meningococcal Meningitis,2,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Pneumonia(All Causes),6406,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Rabies,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Syphilis,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Neonatal,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Tetanus Other than Neonatal,1,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Viral Hepatitis(All Causes),4706,15
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Viral Meningitis,16,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",Male,Whooping Cough,139,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,Acute Encephalitis Syndrome,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,Chikungunya,29,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,Dengue,689,3
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,Influenza,9,2
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,Japanese Encephalitis,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,Kala-azar,0,0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,Malaria,409,0
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Female,Acute Diarrhoeal Diseases,1103264,72
India,West Bengal,"Calendar Year (Jan - Dec), 2018",Female,Acute Respiratory Infection,2097811,324
