Country,State,Year,Gender,DiseaseType,Cases,Deaths
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),4.0,0.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,46932.072911859716,10.537840332256575
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,54170.0,43.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,6404.0,0.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Cholera,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,230.0,0.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),2543.0,0.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Measles,359.0,0.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),1839.0,5.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Rabies,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),872.0,6.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,606.0,10.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,1140.0,14.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,78207.0,100.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,9385.0,1.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Cholera,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,397.0,0.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),4332.0,0.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Measles,572.0,0.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),3960.0,16.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Rabies,46932.072911859716,10.537840332256575
